> cov(A_crf)              result            v          adv          adj            n          ner      emprunt          negresult   0.195788375  0.020927602  0.013966237 -0.010833623 -0.028628611  0.002784546  0.001522798  0.001044205v        0.020927602  0.084582753 -0.004239906 -0.012354246 -0.045557779 -0.006630700 -0.011914810 -0.003263140adv      0.013966237 -0.004239906  0.075445962 -0.010287591 -0.027501740 -0.015898016 -0.013111295 -0.005351549adj     -0.010833623 -0.012354246 -0.010287591  0.062741472 -0.025630874 -0.012069266 -0.007781500  0.005699617n       -0.028628611 -0.045557779 -0.027501740 -0.025630874  0.144457014 -0.021719457 -0.014762443 -0.008440654ner      0.002784546 -0.006630700 -0.015898016 -0.012069266 -0.021719457  0.067316394 -0.007361643 -0.003306648emprunt  0.001522798 -0.011914810 -0.013111295 -0.007781500 -0.014762443 -0.007361643  0.057276801 -0.002131918neg      0.001044205 -0.003263140 -0.005351549  0.005699617 -0.008440654 -0.003306648 -0.002131918  0.016881309> cor(A_crf)             result           v         adv         adj          n         ner     emprunt         negresult   1.00000000  0.16262417  0.11491268 -0.09774689 -0.1702306  0.02425496  0.01438002  0.01816306v        0.16262417  1.00000000 -0.05307589 -0.16958912 -0.4121472 -0.08787352 -0.17118151 -0.08635583adv      0.11491268 -0.05307589  1.00000000 -0.14952656 -0.2634346 -0.22308199 -0.19945191 -0.14995413adj     -0.09774689 -0.16958912 -0.14952656  1.00000000 -0.2692258 -0.18571333 -0.12980655  0.17513191n       -0.17023055 -0.41214717 -0.26343463 -0.26922584  1.0000000 -0.22025168 -0.16229291 -0.17092427ner      0.02425496 -0.08787352 -0.22308199 -0.18571333 -0.2202517  1.00000000 -0.11855638 -0.09808995emprunt  0.01438002 -0.17118151 -0.19945191 -0.12980655 -0.1622929 -0.11855638  1.00000000 -0.06856114neg      0.01816306 -0.08635583 -0.14995413  0.17513191 -0.1709243 -0.09808995 -0.06856114  1.00000000







result	v	adv	adj	n	ner	emprunt	neg
0	1	0	0	0	0	0	0
0	0	0	0.5	0	0	0	0.5
1	0	1	0	0	0	0	0
0	1	0	0	0	0	0	0
0	0.5	0.5	0	0	0	0	0
1	0.5	0.5	0	0	0	0	0
0	0.5	0	0	0	0.5	0	0
0	0.25	0	0	0	0.5	0.25	0
1	0	0	0	1	0	0	0
1	0	0	0	1	0	0	0
1	0.5	0	0.5	0	0	0	0
1	0	0	0	0.5	0.5	0	0
0	0	0	0	0	1	0	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	1	0	0	0	0	0	0
0	0.5	0	0.5	0	0	0	0
1	0	0	0	0	0	1	0
0	0.5	0	0.5	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0	0.5	0.5	0	0	0	0
0	0	0	0.5	0.5	0	0	0
1	0.5	0.5	0	0	0	0	0
1	0.5	0.5	0	0	0	0	0
0	0.5	0	0	0.5	0	0	0
0	0	1	0	0	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
1	0	0.5	0	0.5	0	0	0
0	0	0	0	1	0	0	0
0	0	0.5	0.5	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0
0	0	0	1	0	0	0	0
1	0.5	0.5	0	0	0	0	0
1	0.5	0	0	0.5	0	0	0
0	0	0	0	1	0	0	0
0	1	0	0	0	0	0	0
1	0	0	0	0	0	1	0
0	0	0	0	1	0	0	0
0	0.5	0	0.5	0	0	0	0
0	0	0	0.5	0.5	0	0	0
1	0.5	0	0	0.5	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0	0	0	0	0	1	0
0	0	0	0	0	1	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0	0	1	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0	0	0.5	0	0.5	0
0	0	0	0	0	1	0	0
0	0.5	0	0	0.5	0	0	0
0	0	0.5	0	0	0.5	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0	0	1	0	0	0
0	0.5	0	0	0	0	0.5	0
1	0	0	0	0	0	1	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0	0	0	0	1	0
0	0.5	0.5	0	0	0	0	0
0	0	0	0	1	0	0	0
1	0	0	0	0	0	0	1
0	0.5	0.5	0	0	0	0	0
1	0.5	0.5	0	0	0	0	0
1	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0	0	0	1	0	0
0	0	0.5	0	0.5	0	0	0
0	0.5	0	0	0.5	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0	0.5	0	0	0	0.5
0	0	0.5	0	0.5	0	0	0
1	0	0.5	0.5	0	0	0	0
1	0.5	0	0	0	0.5	0	0
0	0.5	0	0	0	0.5	0	0
0	0	0	0	0.5	0.5	0	0
0	0	0	0	0.5	0.5	0	0
0	0	0	0	0.5	0.5	0	0
0	0	0	0	0.5	0.5	0	0
0	0	0	0	1	0	0	0
1	0	0	1	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0.5	0	0.5	0	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0	0	0.5	0	0	0	0.5
0	0	0	0.5	0	0	0	0.5
0	0	0.5	0	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0.5	0	0.5	0	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0	1	0	0	0	0	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0
1	0	0.5	0.5	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0	0	0	0	0	1	0
0	0	0	1	0	0	0	0
1	0	0.5	0	0.5	0	0	0
1	0	0.5	0	0	0.5	0	0
0	0	0.5	0.5	0	0	0	0
0	0	1	0	0	0	0	0
0	0	0	0	0	0	1	0
0	0	0	0	1	0	0	0
0	0	0	0	0	0	1	0
